k,N,nn1_avg_s,nn2_avg_s,bf_avg_s,nn1_speedup,nn2_speedup
2,50000,2.6706899999908273e-05,4.1946600000073884e-05,0.05106305999999677,1911.9800501058583,1217.3348972242525
3,50000,5.475689999980204e-05,8.471540000005007e-05,0.06604298599999765,1206.112581249786,779.5865450668783
4,50000,0.0001264478999999028,0.00016767810000010286,0.07984922200000255,631.4792258318558,476.2054317168048
5,50000,0.00034996320000004746,0.00042869399999995037,0.09570942600000308,273.48425777336047,223.25814217137204
6,50000,0.0013692850999998426,0.000886105999999927,0.10706830399999945,78.19284968485508,120.83013093242599
8,50000,0.0034986501999999292,0.002098359999999957,0.12600184200000059,36.01441550229947,60.04777159305513
10,50000,0.010976274299999887,0.005978321800000004,0.14994581400000243,13.660902588777684,25.08158961934808
12,50000,0.09934587650000003,0.02002340400000003,0.17863366399999905,1.798098424346772,8.92124356078511
15,50000,0.25871279230000005,0.07297693129999994,0.21637706999999864,0.8363601508698904,2.965006422515862
20,50000,0.3302248985000001,0.38921899430000007,0.8182072239999979,2.4777272329148667,2.1021770159791964
