operation,k,N,kd_avg_s,bf_avg_s,speedup
Exact Search,4,1000,1.4690800000153103e-05,4.2274000006727876e-05,2.8775832498085405
Exact Search,4,5000,1.6444500000034167e-05,0.00024802599999929954,15.082611207320637
Exact Search,4,10000,1.630349999959435e-05,0.0003362420000030397,20.623915110951994
Region Query,4,1000,0.0001141872000002877,0.0015851019999990968,13.88160844643798
Region Query,4,5000,0.00016080169999986539,0.008708912000001874,54.159327917610106
Region Query,4,10000,0.00023127849999991668,0.016127432000002953,69.73165253150968
Nearest Neighbour (NN2),4,1000,0.0003427452999999332,0.004290922000000137,12.519273057868258
Nearest Neighbour (NN2),4,5000,0.00038934160000007976,0.021820773999997982,56.04531855828792
Nearest Neighbour (NN2),4,10000,0.00023720290000028399,0.044065976000001686,185.7733442548507
